Store_ID,Product_ID,Stock_On_Hand,Product_Cost,Product_Price,Inventory_Cost_Value,Inventory_Retail_Value,Potential_Profit,Total Units Sold,Average Daily Sales,Stock Coverage Days,Stock Risk,Business_Action
1,114,23,13.37,28.6,307.51,657.8,350.29,37,0.101369863,226.8918919,Healthy,MAINTAIN
1,120,16,4.55,8.83,72.8,141.28,68.48,52,0.142465753,112.3076923,Healthy,MAINTAIN
1,139,32,6.09,11.45,194.88,366.4,171.52,49,0.134246575,238.3673469,Healthy,MAINTAIN
1,48,29,7.66,13.65,222.14,395.85,173.71,31,0.084931507,341.4516129,Healthy,MAINTAIN
1,34,26,12.63,25.8,328.38,670.8,342.42,22,0.060273973,431.3636364,Healthy,MAINTAIN
1,165,25,5.26,7.42,131.5,185.5,54,49,0.134246575,186.2244898,Healthy,MAINTAIN
1,154,16,15.92,24.84,254.72,397.44,142.72,41,0.112328767,142.4390244,Healthy,MAINTAIN
1,85,25,14.12,28.87,353,721.75,368.75,42,0.115068493,217.2619048,Healthy,MAINTAIN
1,55,22,9.52,19.39,209.44,426.58,217.14,62,0.169863014,129.516129,Healthy,MAINTAIN
1,22,0,4.61,8.26,0,0,0,39,0.106849315,0,Critical,REORDER
1,35,24,15.91,31.91,381.84,765.84,384,56,0.153424658,156.4285714,Healthy,MAINTAIN
1,160,21,5.14,8.83,107.94,185.43,77.49,37,0.101369863,207.1621622,Healthy,MAINTAIN
1,87,33,3.73,5.33,123.09,175.89,52.8,35,0.095890411,344.1428571,Healthy,MAINTAIN
1,41,20,14.11,29.69,282.2,593.8,311.6,45,0.123287671,162.2222222,Healthy,MAINTAIN
1,132,24,12.91,21.14,309.84,507.36,197.52,26,0.071232877,336.9230769,Healthy,MAINTAIN
1,153,9,29,49.49,261,445.41,184.41,44,0.120547945,74.65909091,Healthy,MAINTAIN
1,66,35,8.66,13.54,303.1,473.9,170.8,43,0.117808219,297.0930233,Healthy,MAINTAIN
1,136,32,3.23,5.98,103.36,191.36,88,51,0.139726027,229.0196078,Healthy,MAINTAIN
1,2,32,8.36,15.54,267.52,497.28,229.76,55,0.150684932,212.3636364,Healthy,MAINTAIN
1,64,29,11.27,21.95,326.83,636.55,309.72,37,0.101369863,286.0810811,Healthy,MAINTAIN
