Store_ID,Store_Name,Store_City,Store_Location,Store_Open_Date
1,Maple Street Toys Louisville 1,"Louisville, KY",Downtown,17-03-1991
2,Puzzle Planet San Antonio 1,"San Antonio, TX",Commercial,26-11-2018
3,Wonderland Toys Orlando 1,"Orlando, FL",Mall,10-11-1991
4,Spark & Play St. Paul 1,"St. Paul, MN",Downtown,12-07-2015
5,Tiny Treasures Toys Riverside 1,"Riverside, CA",Residential,06-04-2002
6,Rainbow Toy Market Sacramento 1,"Sacramento, CA",Residential,30-12-2005
7,Puzzle Planet Las Vegas 1,"Las Vegas, NV",Downtown,26-10-2009
8,Neighborhood Toy Co. Santa Rosa 1,"Santa Rosa, CA",Suburban,08-07-2015
9,Space Ranger Toys Nashville 1,"Nashville, TN",Downtown,09-09-2024
10,Board Game Barn Fayetteville 1,"Fayetteville, NC",Mall,24-06-2019
11,Spark & Play Dallas 1,"Dallas, TX",Commercial,02-03-1998
12,Tiny Treasures Toys San Diego 1,"San Diego, CA",Downtown,23-02-1985
13,Space Ranger Toys Detroit 1,"Detroit, MI",Mall,25-10-1996
14,Puzzle Planet Honolulu 1,"Honolulu, HI",Mall,10-10-2007
15,Bluebird Toys Lexington 1,"Lexington, KY",Downtown,18-01-2013
16,Rocketship Toys Chattanooga 1,"Chattanooga, TN",Mall,10-10-2007
17,Mini Makers Asheville 1,"Asheville, NC",Downtown,10-10-2001
18,Ocean Wave Toys Wichita 1,"Wichita, KS",Downtown,06-12-2019
19,Bluebird Toys Gainesville 1,"Gainesville, FL",Residential,10-01-1985
20,Mini Makers Oxnard 1,"Oxnard, CA",Commercial,16-11-1985
21,Kids Quest Toys Santa Ana 1,"Santa Ana, CA",Suburban,01-06-2024
22,City Lights Toys Aurora 1,"Aurora, IL",Mall,29-09-1995
23,Wonderland Toys Irvine 1,"Irvine, CA",Downtown,14-06-2010
24,Playtime Emporium Los Angeles 1,"Los Angeles, CA",Downtown,20-10-2006
25,City Lights Toys Raleigh 1,"Raleigh, NC",Downtown,13-02-2019
26,Board Game Barn Charleston 1,"Charleston, SC",Mall,05-10-1990
27,Giggles & Gadgets Gilbert 1,"Gilbert, AZ",Commercial,30-08-2009
